630	6
-1.80066	0.478658	3.41898
-0.645723	-0.143951	4.31853
-1.41609	0.472029	3.51511
-1.30071	-0.144523	2.57202
-14.0264	-3.2922	26.8253
-1.63655	0.401544	3.54304
-1.06696	-0.12515	2.22725
-0.641198	0.415807	4.08035
-0.26905	-0.670346	4.78818
-0.236823	-0.674721	4.69177
-1.19027	-0.129122	2.46505
1.05829	-0.0181663	2.21798
-0.325932	0.0530587	7.95881
-0.513971	0.329469	4.61256
-0.274526	-0.621297	5.05707
-0.563562	-0.157797	2.62996
0.312298	-0.136514	1.17813
1.3613	-0.372348	3.12772
-0.235261	0.666022	3.47922
18.6528	7.24728	-124.748
1.05299	0.012249	2.21749
0.344934	0.172328	7.30793
-1.05957	1.00713	2.92931
-0.239304	-0.673099	4.70542
-0.263799	-0.0390695	0.619662
-1.22431	0.0757205	5.16276
-2.85891	-0.612176	7.13673
-0.518001	0.330434	4.60154
-1.45731	0.46165	3.51766
10.7063	3.06289	-32.2455
-0.191499	0.526436	3.94264
-0.598971	-0.690006	5.43108
55.2923	25.1412	-241.301
-1.51404	0.40984	3.55646
-0.443801	-0.474691	6.33484
0.129355	0.0373194	-0.794217
0.348507	0.639517	6.16048
-1.3813	0.119242	5.00815
0.629695	-1.01476	2.68118
-0.204926	0.734667	7.31879
-0.381469	-0.290515	7.85378
-1.08264	-0.210233	5.90226
-0.314665	0.762767	3.25836
-1.03658	0.700325	4.62711
-11.4891	-2.75351	22.1762
-0.360045	-0.65844	5.0731
-0.686957	0.199255	7.50421
-0.328755	-0.560867	5.47925
-1.13948	-0.151151	2.17648
-0.648703	0.411141	4.08651
-0.0426362	0.00331094	0.204981
0.233457	-0.339595	6.24694
-0.160658	0.0880831	2.00536
-0.301993	0.679124	3.45417
-0.11578	-0.0200083	2.19756
-0.02095	0.0303324	0.186863
-1.23669	-0.143388	2.45208
-1.4537	0.390084	3.58408
-0.206317	-0.510319	5.42124
-0.193426	0.526774	3.94517
-0.282431	0.0399187	1.40653
-0.428919	-0.628627	5.41565
-0.300094	-0.0712683	2.1091
-0.682526	-0.136806	1.37567
-1.52804	0.531151	5.22238
-0.237467	0.675045	3.4527
-0.356202	0.661778	3.50278
0.772457	-0.148305	4.46139
1.10395	-0.584977	2.20507
-0.384148	-0.664404	5.0975
-0.189509	0.168742	1.80514
-0.473867	0.362511	4.51376
-0.281602	-0.739176	4.52779
0.121186	-0.195392	7.47711
-0.290717	0.228562	1.43473
-0.305634	-0.632422	4.91418
1.09002	-0.10009	2.23606
22.1674	-1.77367	-107.765
-0.704153	0.35142	4.2034
-1.19407	0.740591	3.24214
-0.503937	0.381254	4.38751
-1.15713	-0.140763	2.29933
-1.17023	0.724308	3.26495
-1.45948	0.456761	3.52211
-0.365885	0.252151	5.31986
-1.63606	0.390613	3.55312
-0.506982	0.431471	4.17476
2.135	0.67766	-16.3407
-0.282721	-0.684298	4.74667
-0.0331785	0.00750678	0.165262
-0.282448	0.105749	1.4472
-1.68583	0.410743	3.52515
-0.832024	-0.123404	5.68108
0.888773	-0.696822	2.50247
-0.68374	0.357855	4.21403
-0.53348	0.442949	4.1079
-0.657802	0.38569	4.15529
-1.10436	0.783298	3.19865
-0.127705	0.158011	2.24326
-0.19077	0.513255	3.99832
6.39218	1.8586	-19.2507
-0.247578	-0.480415	5.6574
-0.480308	-0.0967078	1.95886
-1.46323	0.452565	3.52554
-1.20945	-0.562572	4.20161
-0.50483	0.722522	3.35649
-1.32838	0.829629	3.1118
55.5486	25.345	-242.15
-0.847509	0.408145	7.32843
-1.11709	0.772385	3.21106
-0.320342	-0.294755	4.69369
-0.339345	0.725478	3.34565
-0.215094	-0.518522	5.40256
-1.10436	0.783298	3.19865
-1.42978	0.492316	3.49146
-0.550899	0.287359	8.36203
-135.627	-63.663	296.841
-0.68374	0.357855	4.21403
-0.502629	0.308541	4.73429
-0.524838	0.198856	5.70796
-0.0767708	-0.180442	1.47849
-0.23324	0.52198	3.96859
-0.307916	-0.60217	5.23921
-0.324479	-0.493483	5.7052
-0.373886	-0.117265	1.07963
-0.0351664	-0.00121564	0.205246
-0.0252666	-0.237913	8.88477
-1.16894	0.581953	4.09411
-0.488494	0.252644	5.05229
-0.180385	0.258007	1.82975
0.878971	-0.622602	2.53347
-0.22042	0.208845	1.68499
-0.74739	0.0482833	6.57044
-0.204233	0.0439859	1.70618
-0.538248	0.439771	4.11463
-0.032391	0.00588513	0.205227
-1.33743	0.480015	5.3443
-11.011	-3.96687	96.7975
-0.283832	0.136063	1.45351
-0.480748	0.404589	1.85771
-0.560456	-0.0683761	7.03872
-0.531605	0.405766	4.24856
-0.2467	-0.879354	3.94329
-0.0249283	0.02025	0.157944
-0.454584	-0.52629	5.70907
-0.938181	-0.107489	5.89119
-0.613121	0.619024	3.55383
-13.8221	-3.89115	41.1322
-0.336728	0.669343	3.48264
-0.281614	-0.244863	4.05851
-0.259287	0.2975	1.52981
-0.0346674	0.0270722	0.185267
-0.174527	-0.0480245	1.68603
-0.382751	0.0216371	8.80855
-0.906734	0.715963	7.97126
-0.933344	-0.154714	5.90297
-0.535344	0.387811	4.31769
-0.185355	0.139454	1.83088
-1.28165	0.746923	5.0525
-0.102449	-0.121858	1.69934
-0.409937	0.226135	5.37881
-0.0557033	0.00311163	0.211074
-0.174002	0.0536185	1.88848
-0.139907	0.241974	1.9523
-0.50789	0.273258	4.90647
-0.274389	-0.646441	4.88319
1.09311	-0.121916	2.16969
-0.421333	0.124744	1.15913
24.0169	12.1912	-174.397
-1.08537	-0.295183	4.76835
-3.17701	3.70466	25.2648
-0.475323	0.688733	3.39516
-2.14676	0.107938	4.19758
-0.176622	0.514833	3.9458
29.429	-33.672	-131.461
-1.8924	-0.423006	3.89611
33.132	10.6098	-101.895
-1.10615	0.730244	3.23526
-0.457629	0.344311	4.57629
-1.62104	0.392674	3.524
-1.30015	0.234127	5.23051
-0.217389	0.63879	3.51168
-1.4396	0.928863	2.94654
-0.251642	0.724698	3.96733
0.902935	-0.711021	2.45744
-0.345401	0.713065	3.33951
-0.612115	0.207061	7.93482
-0.217603	0.642162	3.49363
0.911794	-0.811252	2.42131
-1.31272	0.773708	3.15125
-0.510011	0.122339	8.3413
-0.33664	0.623635	3.57043
-1.15415	0.595852	5.32917
33.5566	10.7458	-103.201
0.0314048	-0.00881307	-0.0924448
-0.182264	0.516788	3.93779
-0.91325	-0.033346	5.64731
-0.54693	0.504464	3.84388
-1.13878	0.063487	5.28388
-0.213265	0.0481026	1.69489
-0.59106	-0.11989	4.23569
-0.957789	0.595828	5.68952
-0.655102	0.381239	4.12681
0.000396309	3.65788e-05	0.00611588
-0.756592	0.105146	6.7484
16.7951	-22.7359	-183.467
-0.8081	0.486077	7.98969
0.452242	-0.668579	4.10915
-1.31166	0.765884	3.1487
-1.62528	0.384166	3.5297
-1.48418	-0.453301	4.15039
20.0231	10.6147	-159.13
-2.12966	0.674395	4.83236
-0.322443	-0.431293	5.79814
-0.170985	0.49589	4.02832
-9.61364	-3.1954	71.4185
-0.659766	0.627176	4.96214
-0.336773	0.634022	3.54093
