2334	21
-1.80066	0.478658	3.41898
-0.645724	-0.143951	4.31854
-1.41609	0.472029	3.51511
-1.30071	-0.144523	2.57203
35.0408	8.20888	-67.0204
-1.63655	0.401544	3.54304
-1.06696	-0.125151	2.22725
-0.641198	0.415807	4.08035
-0.26905	-0.670346	4.78818
-0.236823	-0.674721	4.69177
-1.19027	-0.129122	2.46505
1.05829	-0.0181663	2.21798
-0.325932	0.0530587	7.9588
-0.513971	0.329469	4.61256
-0.274526	-0.621297	5.05707
-0.563562	-0.157797	2.62996
0.312298	-0.136514	1.17813
1.3613	-0.372348	3.12772
-0.235261	0.666022	3.47922
18.655	7.24811	-124.762
1.05299	0.012249	2.21749
0.344934	0.172328	7.30793
-1.05957	1.00713	2.92931
-0.239304	-0.673099	4.70542
-0.264046	-0.0391053	0.620242
-1.22431	0.0757205	5.16276
3.94961	0.842995	-9.85999
-0.518001	0.330434	4.60154
-1.45731	0.46165	3.51766
-53.1512	-15.2022	160.156
-0.191499	0.526436	3.94264
-0.598971	-0.690006	5.43108
55.2921	25.1411	-241.3
-1.51404	0.40984	3.55646
0.20918	0.100632	-1.55583
0.294615	0.0851104	-1.80902
0.348507	0.639517	6.16048
-1.3813	0.119242	5.00815
0.629695	-1.01476	2.68118
-0.204926	0.734668	7.3188
-0.0852175	-0.149225	1.98841
-1.08264	-0.210233	5.90226
-0.314665	0.762767	3.25836
-1.03658	0.700325	4.62711
49.9651	11.9613	-96.4539
-0.360045	-0.65844	5.0731
-0.686957	0.199255	7.50421
-0.328755	-0.560867	5.47925
-1.13948	-0.151151	2.17648
-0.648703	0.411141	4.08651
-0.0426361	0.00331093	0.204981
0.233457	-0.339595	6.24694
-0.160658	0.0880829	2.00536
-0.301993	0.679124	3.45417
-0.11578	-0.0200082	2.19756
-0.02095	0.0303324	0.186863
-1.23669	-0.143388	2.45208
-1.4537	0.390084	3.58408
-0.206317	-0.510319	5.42124
-0.193426	0.526774	3.94517
-0.282431	0.0399186	1.40653
-0.428919	-0.628627	5.41565
-0.300313	-0.0713197	2.11063
48.7194	9.78263	-98.7167
-1.52804	0.531151	5.22238
-0.237467	0.675045	3.4527
-0.356202	0.661778	3.50278
0.772457	-0.148305	4.46139
1.10395	-0.584977	2.20507
-0.384148	-0.664404	5.0975
-0.189509	0.168741	1.80514
-0.473867	0.362511	4.51376
-0.281602	-0.739176	4.52779
-0.0210556	0.00638564	-3.54009
-0.290717	0.228562	1.43473
-0.305634	-0.632422	4.91418
1.09002	-0.10009	2.23606
22.1695	-1.77384	-107.776
-0.704153	0.35142	4.2034
-1.19407	0.740591	3.24214
-0.503937	0.381254	4.38751
-1.15713	-0.140763	2.29933
-1.17023	0.724308	3.26495
-1.45948	0.456761	3.52211
-0.365885	0.252151	5.31986
-1.63606	0.390613	3.55312
-0.506982	0.431471	4.17476
2.13605	0.677993	-16.3488
-0.282721	-0.684298	4.74667
-0.0331785	0.00750677	0.165261
-0.282448	0.105749	1.4472
-1.68583	0.410743	3.52515
-0.832024	-0.123404	5.68108
0.888773	-0.696822	2.50247
-0.68374	0.357855	4.21403
-0.53348	0.442949	4.1079
-0.657802	0.38569	4.15529
-1.10436	0.783298	3.19865
-0.127704	0.15801	2.24325
-0.19077	0.513255	3.99832
-3.58673	-1.04566	10.7995
-0.247578	-0.480415	5.6574
-0.480308	-0.0967079	1.95886
-1.46323	0.452565	3.52554
-1.20945	-0.562572	4.20161
-0.50483	0.722522	3.35649
-1.32838	0.829629	3.1118
55.5484	25.3449	-242.149
-0.847509	0.408145	7.32843
-1.11709	0.772385	3.21106
-0.320343	-0.294755	4.6937
-0.339345	0.725478	3.34565
-0.215094	-0.518522	5.40256
-1.10436	0.783298	3.19865
-1.42978	0.492316	3.49146
-0.550899	0.287359	8.36203
-135.69	-63.6923	296.978
-0.68374	0.357855	4.21403
-0.502629	0.308541	4.73429
-0.524839	0.198857	5.70796
-0.0767708	-0.180442	1.47849
-0.23324	0.52198	3.96859
-0.307916	-0.60217	5.23921
-0.324479	-0.493483	5.7052
-0.373886	-0.117265	1.07963
-0.0351663	-0.00121564	0.205245
-0.0252666	-0.237913	8.88477
-1.16919	0.475261	4.56819
-0.488494	0.252644	5.05229
-0.180385	0.258007	1.82975
0.878971	-0.622602	2.53347
-0.22042	0.208845	1.68499
-0.74739	0.0482833	6.57044
-0.204232	0.0439859	1.70618
-0.538248	0.439771	4.11463
-0.032391	0.00588513	0.205227
-1.33743	0.480015	5.3443
-12.2762	-4.42433	107.922
-0.283832	0.136063	1.45351
-0.48075	0.404591	1.85772
-0.560456	-0.0683761	7.03872
-0.531605	0.405766	4.24856
-0.2467	-0.879354	3.94329
-0.0249283	0.0202499	0.157944
-0.454584	-0.52629	5.70907
-0.938181	-0.107489	5.89119
-0.613121	0.619024	3.55383
-9.97841	-2.80522	29.8419
-0.336728	0.669343	3.48264
-0.281614	-0.244864	4.05851
-0.259287	0.2975	1.52981
-0.0346673	0.0270722	0.185267
-0.174527	-0.0480244	1.68603
-0.383508	0.0216799	8.82597
-0.906734	0.715963	7.97126
-0.933344	-0.154714	5.90297
-0.535344	0.387811	4.31769
-0.185355	0.139454	1.83088
-1.28165	0.746923	5.0525
-0.102449	-0.121858	1.69934
-0.409937	0.226135	5.37881
-0.0557031	0.00311162	0.211073
-0.174001	0.0536184	1.88848
-0.139907	0.241974	1.95229
-0.50789	0.273258	4.90647
-0.274389	-0.646441	4.88319
1.09311	-0.121916	2.16969
-0.421333	0.124744	1.15913
24.0175	12.1914	-174.401
-1.08537	-0.295183	4.76835
8.01875	-9.36007	-63.7376
-0.475323	0.688733	3.39516
-2.14676	0.107938	4.19758
-0.176622	0.514833	3.9458
38.2608	-43.7968	-170.952
-1.8924	-0.423006	3.89611
45.695	14.6426	-140.538
-1.10615	0.730244	3.23526
-0.457629	0.344311	4.57629
-1.62104	0.392674	3.524
-1.30015	0.234127	5.23051
-0.217389	0.63879	3.51168
-1.4396	0.928863	2.94654
-0.251642	0.724699	3.96733
0.902935	-0.711021	2.45744
-0.345401	0.713065	3.33951
-0.612115	0.207061	7.93482
-0.21562	0.636308	3.46178
0.911794	-0.811252	2.42131
-1.31272	0.773708	3.15125
-0.510011	0.122339	8.3413
-0.33664	0.623635	3.57043
-1.15415	0.595852	5.32917
46.3504	14.8526	-142.554
0.0314048	-0.00881307	-0.0924448
-0.182264	0.516788	3.93779
-0.91325	-0.033346	5.64731
-0.54693	0.504464	3.84388
-1.13878	0.063487	5.28388
-0.213265	0.0481025	1.69489
-0.591061	-0.11989	4.23569
-0.957789	0.595828	5.68952
-0.655102	0.381239	4.12681
0.000396311	3.65794e-05	0.00611588
-0.756592	0.105146	6.7484
16.7991	-22.7413	-183.51
-0.8081	0.486077	7.98969
0.452242	-0.668579	4.10915
-1.31166	0.765884	3.1487
-1.62528	0.384166	3.5297
-1.48418	-0.453301	4.15039
20.0232	10.6148	-159.13
-2.12966	0.674395	4.83236
-0.322443	-0.431293	5.79814
-0.170985	0.49589	4.02832
-8.29085	-2.75705	61.5934
-0.659766	0.627176	4.96214
-0.336773	0.634022	3.54093
-1.08967	0.745546	3.21747
-0.458003	0.327854	4.6545
-0.49104	0.39964	4.27522
-0.368362	-0.649375	5.11127
-178.974	-89.6854	397.206
3.50461	0.716693	-7.15121
-1.04627	0.963893	2.94616
