71562	701
-1.80066	0.478658	3.41898
-0.648439	-0.144585	4.33673
-1.41609	0.472029	3.51511
-1.30145	-0.144615	2.5735
86.9008	20.3759	-166.335
-1.63655	0.401544	3.54304
-1.06814	-0.125304	2.22972
-0.641198	0.415807	4.08035
-0.26905	-0.670346	4.78818
-0.236823	-0.674721	4.69177
-1.19108	-0.129221	2.46674
1.05829	-0.0181663	2.21798
-0.325792	0.0530342	7.95538
-0.513971	0.329469	4.61256
-0.274526	-0.621296	5.05706
-0.563856	-0.157882	2.63133
0.312296	-0.136513	1.17812
1.3613	-0.372348	3.12772
-0.235261	0.666022	3.47922
18.0942	7.03041	-121.012
1.05299	0.012249	2.21749
0.344932	0.172327	7.30788
-1.05957	1.00713	2.92931
-0.239304	-0.673099	4.70542
-0.27262	-0.040465	0.640397
-1.22431	0.0757205	5.16276
2.34745	0.498551	-5.67431
-0.518001	0.330434	4.60153
-1.45731	0.46165	3.51766
4.94286	1.41433	-14.7741
-0.191499	0.526436	3.94264
-0.598972	-0.690007	5.43109
55.0232	25.0189	-240.126
-1.51404	0.40984	3.55646
0.209125	0.100605	-1.55542
-3.23314	-0.932055	19.9341
0.348507	0.639517	6.16048
-1.38129	0.119242	5.00815
0.629695	-1.01476	2.68118
-0.205183	0.735536	7.32748
-0.0841377	-0.147347	1.96334
-1.08266	-0.210236	5.90234
-0.314665	0.762767	3.25836
-1.03665	0.700378	4.62745
65.603	15.7023	-126.741
-0.360045	-0.65844	5.0731
-0.686953	0.199254	7.50417
-0.328754	-0.560864	5.47922
-1.141	-0.15137	2.17938
-0.648703	0.411141	4.08651
-0.0410713	0.0031959	0.197487
0.233457	-0.339595	6.24694
-0.159933	0.0876835	1.9963
-0.301993	0.679124	3.45417
-0.115362	-0.0199412	2.18964
-0.0205138	0.0297216	0.183067
-1.2376	-0.143505	2.45388
-1.4537	0.390084	3.58408
-0.206315	-0.510313	5.42117
-0.193426	0.526774	3.94517
-0.282385	0.0399119	1.4063
-0.42892	-0.628628	5.41565
-0.309238	-0.0735234	2.17345
-0.154819	-0.0287641	0.312174
-1.52804	0.531151	5.22238
-0.237467	0.675045	3.4527
-0.356202	0.661778	3.50278
0.772457	-0.148305	4.46139
1.10395	-0.584977	2.20507
-0.384148	-0.664404	5.0975
-0.189037	0.168323	1.80065
-0.473867	0.36251	4.51376
-0.281602	-0.739176	4.52779
-0.0205501	0.00621522	-3.45649
-0.290706	0.228553	1.43467
-0.305634	-0.632422	4.91418
1.09002	-0.10009	2.23606
21.6839	-1.73498	-105.415
-0.704153	0.35142	4.2034
-1.19407	0.740591	3.24214
-0.503937	0.381254	4.38751
-1.15829	-0.140918	2.30164
-1.17023	0.724308	3.26495
-1.45948	0.456761	3.52211
-0.365884	0.25215	5.31984
-1.63606	0.390613	3.55312
-0.506982	0.431471	4.17476
2.3802	0.755477	-18.2174
-0.282721	-0.684298	4.74667
-0.0321136	0.00727441	0.160001
-0.282396	0.105729	1.44694
-1.68583	0.410743	3.52515
-0.832398	-0.123465	5.68364
0.888773	-0.696822	2.50247
-0.68374	0.357855	4.21403
-0.53348	0.442949	4.1079
-0.657802	0.38569	4.15529
-1.10436	0.783298	3.19865
-0.126653	0.156707	2.22477
-0.19077	0.513255	3.99832
17.1644	5.00082	-51.6912
-0.247575	-0.480407	5.6573
-0.481061	-0.0968677	1.96193
-1.46323	0.452565	3.52554
-1.20945	-0.562572	4.20161
-0.50483	0.722522	3.35649
-1.32838	0.829629	3.1118
55.2752	25.2203	-240.957
-0.847509	0.408145	7.32843
-1.11709	0.772385	3.21106
-0.320914	-0.295263	4.70194
-0.339345	0.725478	3.34565
-0.215092	-0.518516	5.4025
-1.10436	0.783298	3.19865
-1.42978	0.492316	3.49146
-0.550911	0.287368	8.36223
-76.56	-35.937	167.562
-0.68374	0.357855	4.21403
-0.502628	0.30854	4.73429
-0.525623	0.199138	5.71643
-0.0767725	-0.180447	1.47853
-0.23324	0.52198	3.96859
-0.307915	-0.602168	5.23919
-0.324482	-0.493485	5.70522
-0.373885	-0.117264	1.07962
-0.0339467	-0.00116857	0.198175
-0.0252656	-0.237906	8.8845
-1.16919	0.475262	4.56819
-0.488493	0.252643	5.05228
