630	6
-1.71898	0.456942	3.26388
-0.248102	-0.0553076	1.65927
-1.63973	0.546574	4.07024
-1.02439	-0.113819	2.02562
-0.959786	-0.225522	1.83565
-1.82893	0.448746	3.95954
-0.953918	-0.111889	1.99128
-0.454359	0.294645	2.89137
-0.0758287	-0.188927	1.34949
-0.0673736	-0.191949	1.33475
-0.968878	-0.105104	2.00655
1.32067	-0.0226691	2.76787
-0.0654774	0.0106613	1.59886
-0.225106	0.144301	2.02018
-0.0755641	-0.171011	1.39196
-0.393349	-0.110136	1.83562
0.538893	-0.30133	1.14806
0.742746	0.167571	4.14952
-0.0619956	0.587678	6.40204
0.00177944	-0.00140427	0.00500412
1.92693	-0.212339	3.7775
-0.199987	0.56616	2.95755
-0.248849	-0.0966849	1.66427
1.32585	0.0154241	2.7921
1.43683	-0.49673	3.44462
-1.52913	1.0839	4.49236
-2.0013	1.90224	5.53282
-0.0679522	-0.191129	1.33613
-0.804705	-0.119174	1.89024
-0.930305	0.298462	2.26683
-0.173462	-0.246188	2.4884
-0.702996	-0.150759	1.75498
-0.228128	0.145525	2.02651
-1.67297	0.529965	4.03821
-0.710127	-0.203299	2.13893
-0.107174	0.294623	2.20651
-0.162924	-0.187685	1.47728
-0.414791	-0.188603	1.81018
-1.68156	0.455186	3.94998
-0.326546	-0.172342	1.70387
0.244016	-0.24944	3.34211
-0.161572	-0.0685569	5.60581
0.266578	-0.407336	4.46193
-0.328324	-0.0714164	0.991256
-0.278204	-0.0803685	1.70826
1.49994	-0.230649	3.41762
-1.43379	1.30639	4.36228
-0.296518	-0.0466917	3.30881
-1.27236	0.151954	2.97875
0.176142	-0.283853	0.749992
-0.184378	0.227208	1.90113
0.157437	0.161462	3.13613
-0.0742485	-0.257382	2.40989
-0.460843	-0.00159249	3.44749
-0.847381	0.105259	5.34349
-0.427011	-0.148939	4.60864
-0.465031	-0.340978	1.68264
-0.320567	-0.0622477	1.74763
-0.396408	0.960919	4.10482
-0.206098	0.388261	3.13207
-0.988454	0.48242	2.7818
-0.947518	-0.22735	1.82898
-0.0986241	-0.180359	1.38962
-0.342951	0.00614967	1.81473
0.183755	-0.117815	3.18893
-0.0854527	-0.145783	1.42421
-1.05584	-0.140056	2.01673
-0.458426	0.290546	2.88785
-0.486642	0.161184	2.64413
-0.575573	0.0398618	2.8268
