7776	49
-0.601222	0.557441	-1.8608
1.69903	0.946061	-6.8358
-0.356384	1.48067	-4.687
1.64243	0.73613	-6.56203
1.59601	1.28182	-6.77684
-0.357984	1.24217	-6.61604
2.17789	0.316171	-6.05428
1.39434	1.2285	-6.77954
1.26835	0.0231033	-2.95236
1.55082	1.21261	-4.9715
1.77554	0.0790699	-7.04466
1.59643	-0.0232483	-5.19362
0.756282	-0.199536	-2.37646
0.750976	-0.266469	-2.39219
1.58344	0.05955	-3.20311
1.73077	0.0536174	-4.60123
1.60241	0.31016	-3.47547
1.5904	0.178295	-3.27323
1.68773	-0.24561	-5.73338
1.61815	0.718946	-8.38429
1.2194	0.308758	-2.99391
1.70998	0.264507	-4.57678
1.66592	0.215451	-3.94859
1.58328	0.148499	-3.14004
1.5576	0.166297	-2.90342
1.60306	0.13978	-3.31351
1.54473	0.115904	-2.93701
1.60172	0.153977	-3.34148
1.55292	0.194137	-3.24657
1.68893	0.278071	-4.62085
1.59245	0.0771216	-3.21373
1.67839	0.272905	-4.59935
0.334428	-0.532573	-2.7251
0.522491	0.716371	-13.0668
1.52439	0.350837	-2.65353
1.54947	0.155455	-2.84458
1.55807	0.0972728	-2.85506
1.55893	0.0965491	-2.85552
1.52657	0.351452	-2.65594
1.54856	0.0767781	-2.84943
1.58674	0.202667	-3.29146
1.60147	0.140573	-3.31139
1.55475	0.0753681	-2.97567
1.67085	0.190844	-4.11787
1.59642	0.213578	-3.22699
1.58201	0.219099	-3.04705
0.354079	0.910535	-13.7383
-1.41217	0.128314	1.16911
1.5534	0.170323	-2.98094
1.59954	0.0727829	-3.41588
1.64954	0.132397	-3.86701
1.58231	0.0705934	-3.24232
1.60113	0.193582	-3.27241
1.58139	0.21192	-3.25019
1.59003	0.14044	-3.20937
1.56921	0.208523	-3.07314
1.57023	0.208639	-3.07427
0.0957588	1.38018	-15.6662
-0.417546	1.40812	-3.51225
1.74156	0.283897	-4.5542
1.54808	0.142377	-2.94006
1.5804	0.112243	-3.16372
1.54049	0.366942	-2.86116
1.60652	0.138613	-3.38385
1.428	1.43019	-4.88223
1.25066	1.44495	-5.02775
1.56763	0.253709	-2.98132
1.60312	0.298369	-3.34083
1.64735	1.20697	-6.78785
